member_id,email,first_name,last_name,phone,plan_code,enrolled_date,status,_loaded_at
ec0b9e5d-396a-41fb-b53c-b8227cb19482,joseph.brown32@outlook.com,Joseph,Brown,428-242-2679,DELUXE,2024-01-22,ACTIVE,2026-03-10 09:00:23
09dd5181-fab7-4c89-905e-4b65e8545044,jeffrey.jones12@gmail.com,Jeffrey,Jones,423-338-9279,DELUXE,2024-02-24,ACTIVE,2026-03-10 09:00:23
f7bacbbf-5d98-4ea2-a2b9-77caf1747579,brenda.torres58@yahoo.com,Brenda,Torres,803-384-1106,ULTIMATE,2021-11-23,ACTIVE,2026-03-10 09:00:23
6f2e1fc3-e79e-41b4-92d3-2a8fd3bba64b,amanda.scott28@yahoo.com,Amanda,Scott,981-444-2674,BASIC,2021-07-18,ACTIVE,2026-03-10 09:00:23
d2258eb3-3ef7-4bbb-9d38-6b0883a0a0f7,george.richardson6@outlook.com,George,Richardson,947-570-9785,BASIC,2023-02-15,ACTIVE,2026-03-10 09:00:23
06f90ed6-f4da-4b4b-86f1-f1604ffda094,donna.watson74@outlook.com,Donna,Watson,396-821-2139,BASIC,2022-04-12,PAUSED,2026-03-10 09:00:23
247a024d-63b7-4c75-b11d-12bc60e77a5d,william.robinson49@gmail.com,William,Robinson,484-564-6977,BASIC,2022-12-29,ACTIVE,2026-03-10 09:00:23
88323035-660a-4be5-ad53-a1bd04e4900b,paul.martinez82@icloud.com,Paul,Martinez,375-646-5010,BASIC,2023-02-17,ACTIVE,2026-03-10 09:00:23
1b8ae8c3-63b5-45e8-91f4-1727c4373078,pamela.lewis99@outlook.com,Pamela,Lewis,994-157-4752,ULTIMATE,2022-10-09,ACTIVE,2026-03-10 09:00:23
4374909f-c863-4e66-aed6-4c768a8a9a4d,david.ramirez92@icloud.com,David,Ramirez,522-317-9179,DELUXE,2024-08-09,ACTIVE,2026-03-10 09:00:23
b80fb3c9-1d91-424c-a50b-4a770629a9a7,kimberly.moore96@yahoo.com,Kimberly,Moore,774-651-5304,DELUXE,2023-05-28,CANCELLED,2026-03-10 09:00:23
96c9610b-1a92-4438-929a-b3c1a2188149,rebecca.campbell18@yahoo.com,Rebecca,Campbell,721-605-2489,ULTIMATE,2021-08-13,ACTIVE,2026-03-10 09:00:23
1acc3ced-6719-49be-a6ae-97a8df033787,christopher.parker9@icloud.com,Christopher,Parker,594-490-8668,DELUXE,2024-02-08,CANCELLED,2026-03-10 09:00:23
d2c2a0fd-2cc1-437f-9b5d-307c0ee5d531,mary.anderson97@icloud.com,Mary,Anderson,473-887-6573,BASIC,2023-06-10,ACTIVE,2026-03-10 09:00:23
2d094ff5-76b9-4cfa-808d-0e0a1fff2f5a,james.king98@icloud.com,James,King,382-619-2743,ULTIMATE,2022-09-04,PAUSED,2026-03-10 09:00:23
299a523e-cf2b-4733-8fda-30a56dfb2575,eric.richardson20@yahoo.com,Eric,Richardson,582-880-3646,DELUXE,2025-05-14,CANCELLED,2026-03-10 09:00:23
a0f33c6e-c7a9-41fb-87a5-d91175ef6de4,james.diaz63@outlook.com,James,Diaz,219-214-6947,ULTIMATE,2022-09-22,ACTIVE,2026-03-10 09:00:23
793ddafa-c242-42bb-a479-a2180e579609,donald.kelly11@gmail.com,Donald,Kelly,949-597-2133,ULTIMATE,2023-12-27,PAUSED,2026-03-10 09:00:23
59bc59a5-2cfb-4245-a705-e7a7929be034,thomas.nguyen22@icloud.com,Thomas,Nguyen,471-640-7932,ULTIMATE,2024-01-10,PAUSED,2026-03-10 09:00:23
164337fa-5de9-4fc5-abce-0edc227f23d0,margaret.flores86@hotmail.com,Margaret,Flores,865-482-8177,ULTIMATE,2023-07-14,ACTIVE,2026-03-10 09:00:23
3df7a6a9-d9cb-4651-8313-644c2e2a19b6,mark.rodriguez3@outlook.com,Mark,Rodriguez,802-667-4770,DELUXE,2021-01-15,ACTIVE,2026-03-10 09:00:23
1673eaaa-b9cd-46c5-8ed5-69d9dddee2af,linda.robinson5@gmail.com,Linda,Robinson,538-172-9423,BASIC,2024-10-02,ACTIVE,2026-03-10 09:00:23
7f8e1e17-28f3-4872-bcad-14b8da802284,brenda.taylor74@icloud.com,Brenda,Taylor,684-348-8749,ULTIMATE,2022-01-25,ACTIVE,2026-03-10 09:00:23
9a967512-1bde-4654-99ed-172468379078,laura.rivera53@hotmail.com,Laura,Rivera,678-984-1887,DELUXE,2024-08-16,ACTIVE,2026-03-10 09:00:23
6e9a6ca3-2928-44e0-9a3d-9f54c568cdcb,rebecca.baker32@gmail.com,Rebecca,Baker,396-294-9786,DELUXE,2023-05-15,ACTIVE,2026-03-10 09:00:23
9698cd9b-f4da-448d-ba71-b919768d02f4,kathleen.young57@gmail.com,Kathleen,Young,763-200-1828,DELUXE,2024-01-13,PAUSED,2026-03-10 09:00:23
a475f275-4c64-4bc1-8e81-7517da32e3b3,susan.walker53@yahoo.com,Susan,Walker,697-592-4502,ULTIMATE,2021-05-01,ACTIVE,2026-03-10 09:00:23
a17f2daf-a7dc-4027-979b-8bd184aac087,james.roberts59@outlook.com,James,Roberts,492-533-8973,BASIC,2022-08-31,ACTIVE,2026-03-10 09:00:23
93000fd6-4867-4264-922a-510763646ab0,linda.ward8@icloud.com,Linda,Ward,965-421-1936,BASIC,2023-09-04,ACTIVE,2026-03-10 09:00:23
af20a91c-2405-4320-a762-aa2ee4e0bb71,anna.lee66@gmail.com,Anna,Lee,282-971-4044,BASIC,2021-05-20,ACTIVE,2026-03-10 09:00:23
fedadbcb-c783-4689-9bab-997b87576ca6,donald.evans73@gmail.com,Donald,Evans,452-692-1651,DELUXE,2023-05-09,ACTIVE,2026-03-10 09:00:23
35e26da3-5377-4000-a0c9-f1331dbfd130,justin.peterson34@outlook.com,Justin,Peterson,409-785-6147,BASIC,2023-03-22,ACTIVE,2026-03-10 09:00:23
ac591fbf-d7ef-4f5c-8306-0a5a46ef8cd0,joshua.flores97@outlook.com,Joshua,Flores,274-109-8508,DELUXE,2024-02-28,CANCELLED,2026-03-10 09:00:23
596edd72-8090-4bf9-b2d5-445b9b581f6a,barbara.reed65@yahoo.com,Barbara,Reed,471-235-6718,ULTIMATE,2022-05-16,ACTIVE,2026-03-10 09:00:23
73f2c21b-9395-4301-944e-bcfdadaac68e,christopher.edwards91@icloud.com,Christopher,Edwards,509-726-9666,BASIC,2024-02-10,ACTIVE,2026-03-10 09:00:23
